-6.22744,106.99696
-6.22801,107.00148
-6.22744,106.99696
-6.22803,106.99735
-6.22806,106.99737
-6.22816,106.99748
-6.22821,106.99753
-6.22826,106.99759
-6.22829,106.99763
-6.22841,106.99779
-6.22853,106.998
-6.22863,106.9982
-6.22869,106.99837
-6.22875,106.99855
-6.22878,106.99872
-6.22879,106.9988
-6.22881,106.99899
-6.22882,106.99911
-6.22881,106.99925
-6.22879,106.99939
-6.22877,106.99952
-6.22874,106.99965
-6.22871,106.99979
-6.22864,106.99996
-6.22858,107.0001
-6.22856,107.00016
-6.22852,107.00026
-6.2283,107.00078
-6.22801,107.00148
